S,T,M,F,W,TM,CO,C,
"0,000000003",22000000,"1043,128489",1286000000,"0,000000015",207,36,"0,04162895582",
"0,000000014",24000000,"1116,135912",1725000000,"0,000000025",121,17,"1,232591147",
"0,000000008",24000000,"1463,990081",1556000000,"0,000000004",279,28,"0,06943364636",
"0,000000005",39000000,"1050,047515",1657000000,"0,000000098",93,64,"11,81359717",
"0,000000017",23000000,"1016,302415",1407000000,"0,000000074",190,25,"0,01136561349",
"0,000000018",33000000,"1336,070071",2203000000,"0,00000005",103,92,"95,1145409",
"0,000000007",40000000,"1033,617443",1851000000,"0,000000023",131,51,"13,73293421",
"0,00000001",20000000,"1346,131846",1534000000,"0,00000001",4,28,"0,0009938219954",
"0,000000019",29000000,"1039,656722",2056000000,"0,000000057",-2,31,"0,967675877",
"0,000000014",40000000,"1337,018015",2171000000,"0,000000003",103,13,"47,9574659",
"0,000000017",32000000,"1104,359968",1284000000,"0,000000082",-7,57,"0,5147524487",
"0,000000001",20000000,"1470,788516",1931000000,"0,000000036",115,24,"731,712499",
"0,00000002",36000000,"1151,002418",1318000000,"0,000000022",295,25,"0,0005124832299",
"0,00000001",29000000,"1106,12766",1756000000,"0,000000067",70,93,"0,0004617570191",
"0,000000013",22000000,"1343,243019",2006000000,"0,000000074",61,93,"0,005400791527",
"0,000000003",33000000,"1026,646828",1089000000,"0,000000003",114,15,"108,2025402",
"0,000000012",23000000,"1249,310661",1886000000,"0,000000038",71,91,"4,50151886",
"0,000000013",28000000,"1414,314752",2220000000,"0,000000039",7,52,"0,06466506638",
"0,000000007",35000000,"1317,711591",2239000000,"0,000000011",263,3,"0,03117980813",
"0,000000018",20000000,"1448,548493",1644000000,"0,000000056",52,53,"0,7857991266",
"0,000000014",21000000,"1035,802619",2233000000,"0,000000022",153,71,"12,56479703",
"0,000000004",24000000,"1414,552232",1899000000,"0,000000011",109,32,"65,64049074",
"0,00000001",31000000,"1280,592489",2118000000,"0,000000069",197,90,"0,001673458226",
"0,00000002",20000000,"1021,539868",1389000000,"0,000000099",144,84,"3,563618561",
"0,000000004",32000000,"1306,789289",2005000000,"0,000000088",224,53,"1,813521735",
"0,000000019",25000000,"1153,635155",2175000000,"0,000000039",106,71,"301,6403162",
"0,000000013",31000000,"1367,299955",1289000000,"0,00000003",50,98,"0,338267284",
"0,000000009",29000000,"1027,435099",2417000000,"0,000000026",26,98,"12,36538899",
"0,000000011",33000000,"1388,315453",1575000000,"0,000000076",196,100,"0,03174383417",
"0,000000018",24000000,"1492,187319",1681000000,"0,000000077",-5,6,"0,0003920785721",
"0,00000001",35000000,"1257,301718",1746000000,"0,000000007",14,62,"9,237576432",
"0,000000002",38000000,"1145,820101",1582000000,"0,00000004",195,77,"0,0002623177883",
"0,000000011",30000000,"1155,494271",1454000000,"0,0000001",134,19,"587,6747038",
"0,000000015",28000000,"1225,039198",1099000000,"0,000000025",-6,88,"5,757913078",
"0,00000002",34000000,"1325,007522",1132000000,"0,000000019",138,5,"1,069574664",
"0,000000017",26000000,"1165,54283",1782000000,"0,000000047",91,23,"1,428975232",
"0,000000014",36000000,"1497,875806",1853000000,"0,000000014",192,33,"233,9194128",
"0,000000019",24000000,"1382,094886",1672000000,"0,000000026",125,57,"0,04407812598",
"0,000000015",23000000,"1294,011133",2147000000,"0,000000033",212,51,"14,95534303",
"0,00000001",20000000,"1133,536253",1074000000,"0,000000068",58,24,"77,53827646",
"0,000000006",38000000,"1276,274908",2279000000,"0,000000055",153,25,"32,42201096",
"0,000000006",22000000,"1268,419271",2247000000,"0,000000091",146,100,"162,8256441",
"0,000000004",40000000,"1413,011834",1742000000,"0,000000009",217,82,"15,93616253",
"0,000000007",32000000,"1279,245909",2293000000,"0,000000012",275,91,"0,0009766874166",
"0,000000001",31000000,"1266,190925",1005000000,"0,000000074",298,72,"110,3343434",
"0,000000013",22000000,"1271,514589",1100000000,"0,000000067",36,68,"1,541530395",
"0,000000016",39000000,"1191,760556",1104000000,"0,000000091",276,67,"39,17328264",
"0,000000002",27000000,"1404,985252",1943000000,"0,000000005",47,19,"2,514779444",
"0,000000015",34000000,"1298,283715",2162000000,"0,000000055",257,23,"0,8818974522",
"0,000000002",30000000,"1323,619254",2022000000,"0,000000061",24,12,"0,02421622865",
"0,000000011",31000000,"1271,020784",1278000000,"0,00000005",186,22,"0,001154376366",
"0,000000008",25000000,"1425,217059",1388000000,"0,000000094",94,88,"0,001776813644",
"0,000000004",35000000,"1287,327437",1505000000,"0,000000061",54,33,"1,540953052",
"0,000000001",31000000,"1157,349621",1677000000,"0,000000037",207,33,"48,96026993",
"0,000000011",30000000,"1051,803226",1929000000,"0,000000092",283,8,"0,5841848678",
"0,000000005",32000000,"1371,060691",1063000000,"0,000000081",272,56,"0,5097083959",
"0,000000019",39000000,"1087,645718",1201000000,"0,000000051",171,68,"0,003738579148",
"0,000000013",25000000,"1134,119175",2124000000,"0,000000043",156,95,"0,0002418003323",
"0,000000014",24000000,"1276,028678",2487000000,"0,000000091",172,95,"1,678714047",
"0,000000015",33000000,"1450,250181",1764000000,"0,000000006",299,43,"24,38409487",
"0,000000016",40000000,"1125,238709",2070000000,"0,000000057",255,22,"0,01559667892",
"0,00000002",31000000,"1456,50731",2447000000,"0,000000094",-7,7,"9,760459305",
"0,000000011",33000000,"1333,292095",1354000000,"0,00000006",262,57,"0,01338053515",
"0,000000011",25000000,"1167,319288",1384000000,"0,000000081",221,98,"0,0436063324",
"0,000000016",29000000,"1034,644627",1874000000,"0,000000027",27,40,"0,01194145763",53
"0,000000009",39000000,"1498,113764",2429000000,"0,000000024",135,5,"16,19061804",
"0,000000004",40000000,"1166,546125",1483000000,"0,000000078",53,21,"0,005677048215",
"0,00000001",38000000,"1063,965208",1380000000,"0,000000034",100,20,"0,0002337279503",
"0,000000007",21000000,"1072,035552",2225000000,"0,000000069",245,100,"34,02049535",
"0,000000011",39000000,"1297,42256",1914000000,"0,000000066",157,96,"2,917259079",
"0,000000007",40000000,"1263,291607",2395000000,"0,000000088",97,19,"6,338677331",
"0,000000012",31000000,"1335,34357",1665000000,"0,000000011",23,76,"3,171399713",
"0,000000011",20000000,"1385,128922",1099000000,"0,000000082",86,72,"3,885695865",
"0,000000014",28000000,"1465,812867",1495000000,"0,000000037",136,90,"0,002139627262",
"0,000000002",36000000,"1348,256944",2182000000,"0,000000089",280,44,"0,007314038491",
"0,000000013",30000000,"1414,473053",2112000000,"0,000000045",243,95,"0,9025661248",
